OTU ID	WRNA01_1	WRNA05_1	WRNA06_1	WRNA10_1	WRNA11_1	WRNA12_1	WRNA13_1	WRNA14_1	WRNA15_1	WRNA16_1
d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae	1.38E-05	5.29E-05	0	6.03E-05	7.61E-04	3.05E-05	0.000260395	0	0	0
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;Other	7.72E-05	0	0	1.65E-05	0.00E+00	3.60E-05	0.000930226	9.01E-05	7.74E-05	0.000109503
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae	0	1.16E-04	8.29E-06	0.000156335	7.53E-05	0.000171834	0.000395732	0.000585968	0	0.00014948
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__uncultured	0	0	0	8.23E-06	0.00E+00	0	0	0	0	6.95E-06
d__Bacteria;p__Actinobacteriota;Other;Other;Other	1.05E-03	1.34E-03	6.08E-05	0.000454741	6.88E-05	0.000138576	0.001401335	0.001540582	0.000413319	0.001254936
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;Other;Other	0	0	0	8.01E-05	1.01E-04	0.000889655	0.000483101	9.34E-05	0	0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;Other	0.00E+00	0	0.00E+00	0.000120131	0	0	7.20E-05	0	0	0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae	0.004781571	3.92E-03	0.005220785	0.004627501	3.86E-03	0.003938317	0.007981443	0.008952115	0.001682917	0.00412808
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;Other;Other	0	0	0	1.37E-05	0	3.88E-05	6.85E-06	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;Other	0	0.00E+00	0	0	0.00E+00	0	0	0.000260788	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae	6.43E-06	7.22E-06	3.59E-05	0	0.00010753	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae	8.92E-05	0	3.87E-05	8.78E-06	8.17E-05	2.77E-05	0	0.000101418	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae	0	0.00E+00	0.00E+00	0	0	0	0	0.000259178	0	1.22E-05
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;Other	0	7.22E-06	0	0	0.00E+00	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Brevibacteriaceae	0	0.00E+00	0	0	0	1.11E-05	0	0.000338059	0	4.35E-05
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermabacteraceae	0	0	0	0	0.000154843	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermacoccaceae	0	0	0	0	0	0.00E+00	0	0	0	2.61E-05
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermatophilaceae	0	0.00E+00	0	4.39E-05	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae	1.65E-05	0	0	0	0.00047098	4.16E-05	0	0.001163888	9.88E-06	1.22E-05
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae	0	6.74E-05	0	1.48E-05	0	0.000232807	0	0	0	0.000519704
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae	5.52E-06	0	0	2.08E-05	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae	0	0.00E+00	0	2.96E-05	1.94E-05	0	6.00E-05	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae	8.27E-06	0.00E+00	0.00E+00	5.54E-05	0.00E+00	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__67-14	0	0.00E+00	0	0	0.00E+00	1.11E-05	0	0	0	0
d__Bacteria;p__AncK6;c__AncK6;o__AncK6;f__AncK6	5.88E-05	9.63E-06	0.00E+00	2.47E-05	8.60E-06	3.05E-05	0.001135801	0.000275276	1.15E-05	6.43E-05
d__Bacteria;p__Bacteroidota;Other;Other;Other	0	0	0.00E+00	3.29E-06	0.00E+00	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;Other;Other	2.36E-03	0.002002373	0.002106002	0.00374764	1.59E-03	0.0019068	0.006150114	0.001105935	0.001496841	0.002388203
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;Other	1.84E-05	0.00E+00	0.00E+00	1.76E-05	0.00E+00	3.33E-05	2.06E-05	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0	0	0.00E+00	1.10E-05	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidetes_BD2-2	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	1.88E-05	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae	0	0	0.00E+00	2.36E-05	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae	1.84E-06	1.68E-05	0	0	0.00E+00	0.00E+00	8.57E-06	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	0.00E+00	0.00E+00	0.00E+00	4.28E-05	0.00E+00	0.00E+00	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae	0	3.61E-05	1.93E-05	0	0.00E+00	2.49E-05	5.65E-05	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	4.60E-06	7.22E-06	0.00E+00	0	0.00E+00	0.00E+00	2.23E-05	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae	0	0	0.00E+00	0	0	0	2.23E-05	0	0	1.04E-05
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;Other	1.93E-05	3.13E-05	0.00E+00	1.10E-04	0.00E+00	0.00E+00	0.000382027	0	1.98E-05	9.91E-05
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae	6.71E-05	0.00E+00	0.00E+00	0.000177179	9.03E-05	3.05E-05	3.94E-05	0.000283325	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae	0.000332743	0.000375445	4.62E-04	1.13E-03	8.02E-04	0.00187077	0.000914808	0.000297814	0.000270057	0.000519704
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured	0	0.00E+00	0.00E+00	1.54E-05	0.00E+00	0.00E+00	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;Other	0.00042558	0.000190129	8.84E-05	0.000298407	6.67E-05	0.00014689	0.000479675	0	0.000131735	0.0002051
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Amoebophilaceae	1.79E-04	0.000368225	1.05E-04	1.37E-04	1.35E-04	1.61E-04	0.000347764	1.29E-05	7.08E-05	8.86E-05
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Bernardetiaceae	1.84E-06	0.00E+00	0	3.29E-06	0	0	0.000185017	0	5.43E-05	8.86E-05
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae	1.46E-03	0.000897698	1.01E-03	0.002190329	0.001230139	1.49E-03	0.003967595	0.002477487	0.004954889	0.003629234
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Flammeovirgaceae	0.00E+00	0.00E+00	0.00E+00	2.30E-05	0	0.00E+00	6.85E-06	0	6.59E-06	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae	3.22E-05	0	1.66E-05	4.72E-05	0	0.00E+00	0	0	1.98E-05	3.65E-05
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae	8.73E-05	0	0.00E+00	1.21E-05	2.13E-04	8.31E-06	0.000260395	0.001056031	8.23E-06	6.95E-06
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;Other	6.89E-05	0.000166062	0.000281906	0.000103126	0.00E+00	2.38E-04	0.000400871	0.000186737	6.59E-05	1.56E-05
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae	6.99E-05	2.17E-05	5.80E-05	8.67E-05	8.28E-04	0.00E+00	0.000418002	2.09E-05	0.000148202	0.000180766
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae	0.00E+00	2.41E-05	5.80E-05	0.000140427	1.12E-04	0.000133033	0.000131911	0.000280106	6.59E-05	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae	1.26E-04	5.05E-05	2.76E-05	0.000268786	1.56E-03	4.13E-04	0.001156359	0	0.006041704	0.001696424
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__NS7_marine_group	3.49E-05	8.18E-05	6.91E-05	6.47E-05	0	6.37E-05	0.000609872	0	4.94E-05	9.91E-05
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__NS9_marine_group	7.72E-05	0.000122742	7.46E-05	0.000176631	0.00021936	0.000124718	0.000800029	0.00212333	0.000171256	0.000274626
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae	3.18E-03	4.81E-05	2.49E-05	0.001080079	0.013899283	0.000640219	0.000253542	0.002440461	2.14E-05	0.000679612
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;Other	8.64E-05	6.98E-05	0.00E+00	0.000294567	0	2.22E-05	7.71E-05	0	6.09E-05	0.000106026
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__KD3-93	7.72E-05	1.71E-04	0.000292961	0.000200766	0.000227963	0.00027438	0.000440273	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Lentimicrobiaceae	0	0	0	1.65E-05	2.80E-05	4.43E-05	0.000534495	0.000679337	3.95E-05	0.00010255
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.000167746	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__env.OPS_17	0	0	0	2.19E-05	7.31E-05	5.82E-05	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriales	0.00E+00	1.44E-05	0.00E+00	1.54E-05	0.00E+00	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae	0.00E+00	0	0	0	0	0.00E+00	0	0	2.14E-05	0
d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Rhodothermaceae	1.93E-05	0.00E+00	0.00E+00	3.84E-05	6.45E-06	8.31E-05	1.71E-05	0	0	0
d__Bacteria;p__Bdellovibrionota;Other;Other;Other	0.00E+00	0.00E+00	0	0	0	3.05E-05	2.23E-05	0	0	0
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae	1.42E-03	9.07E-04	6.33E-04	0.00114371	0.000675286	0.001213922	0.004205719	0.000249519	0.003958642	0.007797291
