KO	MIS1	MIS2	MIS3	MIS4	MIS5	MIS6	ISMF	ISMU	NIS1	NIS2
K10255	-3	-3	-3	0.843201393	-3	-3	-3	-3	2.01948647	1.94381711
K20978	-3	-3	-3	-3	-3	-3	-3	-3	2.1267864	1.77390314
K07810	-3	-3	-3	1.422819685	1.463623689	2.248946298	-3	-3	1.223071563	1.753427995
K15012	2.090441594	-3	-3	0.547865252	1.562897217	-3	2.136253736	-3	1.672934838	1.284448417
K15011	-3	-3	-3	-3	-3	-3	2.198377663	-3	1.682457887	-3
K05966	-3	-3	-3	1.026430565	-3	0.94948927	2.343325445	-3	-3	-3
K13598	-3	1.418842487	-3	1.308720136	0.653414307	1.301910852	2.309543758	-3	-3	-3
K07661	-3	-3	-3	1.004443486	-3	-3	1.418260251	-3	1.392063539	1.947318442
K02660	-3	-3	-3	0.931982909	1.795647608	-3	-3	-3	1.738117787	1.692997029
K00425	1.657416926	-3	2.017142029	0.306736208	1.956139017	-3	-3	-3	1.486217648	1.677782795
K13599	-3	-3	-3	0.42296731	1.469325401	-3	2.158258878	-3	0.474620195	1.179790786
K10004	-3	-3	-3	2.534885205	-3	2.163283511	1.888162264	-3	-3	-3
K20977	-3	-3	-3	-3	-3	-3	-3	-3	2.044835425	1.081741724
K07773	-3	-3	-3	-3	-3	-3	-3	-3	1.989071902	1.338986985
K09696	-3	-3	-3	1.70214267	-3	1.144680658	1.812558939	-3	1.849685271	-3
K07665	-3	1.31929807	-3	0.424875536	-3	-3	-3	1.124284954	1.814994986	1.353963407
K03776	-3	-3	-3	-3	-3	-3	-3	-3	1.19058936	1.91517412
K20975	-3	-3	-3	0.492330733	-3	-3	-3	-3	1.988910962	1.010526096
K00245	-3	-3	-3	1.423427558	2.122335734	1.777402821	-3	-3	-3	-3
K01113	-3	-3	1.535829617	1.443489684	-3	-3	1.992557378	-3	1.418109473	1.102884037
K00027	-3	-3	-3	0.70164305	1.456136044	1.534009781	1.96050316	-3	-3	-3
K00244	1.584262346	-3	1.270538641	0.614265463	-3	-3	2.141950198	-3	-3	-3
K06596	-3	-3	-3	2.2295325	0.653998786	1.002534408	0.164886337	0.450440057	1.62295603	1.456180976
K20974	-3	-3	-3	-3	-3	-3	-3	-3	1.762015848	1.310352133
K06597	-3	-3	-3	-3	-3	-3	-3	-3	1.572707307	1.61870091
K07659	-3	-3	-3	1.07219365	-3	-3	-3	-3	1.344444035	1.698208053
